gene	log2fc	pval
ART3	0.0706345693239059	0.0899490621873469
ARVCF	0.0657496673156509	0.0166799017045624
AS3MT	-0.0499222275341039	0.49926336382489
ASAH1	-0.00698126719622948	0.896207708489559
ASAP1	-0.0855872803780213	0.000210572732257224
ASAP2	-0.0526802871507018	0.00136380738466873
ASAP3	-0.006562207511761	0.857864632599462
ASB1	0.0337601434193031	0.270822424921756
ASB6	0.0240918413909212	0.517209033107446
ASCC1	0.00687098586910369	0.87767394578761
ASCC3	-0.00489673484702607	0.899258797137287
ASF1A	0.0122388220650606	0.776155833259003
ASH2L	0.0352131314589436	0.234042431961497
ASIC1	-0.0291452240064546	0.242263692970122
ASIC2	-0.0485331636233012	0.14435228010885
ASL	0.061286241368893	0.0567396996502302
ASMTL	0.00377747167116181	0.9509458725714
ASNS	-0.0965030927017762	0.0498580821275806
